System,Atom,BE,N,Atoms
C3H8@Ca,Ca,426.44,13,Ca_053;Ca_050;Ca_049;Ca_051;Ca_046;Ca_003;Ca_004;Ca_009;Ca_048;Ca_007;Ca_008;Ca_054;Ca_001
C3H8@Ca,Ca,426.51,18,Ca_029;Ca_027;Ca_026;Ca_019;Ca_028;Ca_035;Ca_023;Ca_021;Ca_036;Ca_031;Ca_022;Ca_033;Ca_032;Ca_034;Ca_020;Ca_024;Ca_025;Ca_030
C3H8@Ca,Ca,426.93,18,Ca_043;Ca_037;Ca_012;Ca_041;Ca_015;Ca_017;Ca_014;Ca_016;Ca_010;Ca_038;Ca_018;Ca_042;Ca_011;Ca_013;Ca_045;Ca_039;Ca_044;Ca_040
C3H8@Ca,C,294.03,4,C_067;C_073;C_056;C_062
C3H8@Ca,C,294.19,2,C_070;C_059
C3H8@CaH2,Ca,426.19,2,Ca_028;Ca_018
C3H8@CaH2,Ca,426.20,14,Ca_029;Ca_027;Ca_026;Ca_019;Ca_017;Ca_023;Ca_021;Ca_031;Ca_022;Ca_032;Ca_020;Ca_024;Ca_025;Ca_030
C3H8@CaH2,Ca,426.26,16,Ca_043;Ca_006;Ca_041;Ca_015;Ca_014;Ca_035;Ca_016;Ca_036;Ca_033;Ca_005;Ca_007;Ca_008;Ca_042;Ca_034;Ca_013;Ca_044
C3H8@CaH2,Ca,426.67,16,Ca_037;Ca_012;Ca_002;Ca_046;Ca_003;Ca_004;Ca_010;Ca_038;Ca_009;Ca_048;Ca_047;Ca_011;Ca_045;Ca_039;Ca_001;Ca_040
C3H8@CaH2,C,293.79,4,C_157;C_152;C_163;C_146
C3H8@CaH2,C,293.96,1,C_149
C3H8@CaH2,C,293.97,1,C_160
C3H8@CaO,Ca,425.77,18,Ca_053;Ca_006;Ca_050;Ca_049;Ca_051;Ca_002;Ca_046;Ca_003;Ca_004;Ca_009;Ca_048;Ca_047;Ca_005;Ca_007;Ca_008;Ca_052;Ca_054;Ca_001
C3H8@CaO,Ca,425.92,18,Ca_029;Ca_027;Ca_026;Ca_019;Ca_028;Ca_035;Ca_023;Ca_021;Ca_036;Ca_031;Ca_022;Ca_033;Ca_032;Ca_034;Ca_020;Ca_024;Ca_025;Ca_030
