System,Atom,Value,N_Atoms,Atom_indices
molecule_056,F,701.07,2,F_001;F_002
molecule_057,C,297.97,1,C_001
molecule_057,F,701.33,1,F_002
molecule_058,C,300.43,1,C_001
molecule_058,F,702.73,2,F_002;F_003
molecule_059,C,303.12,1,C_001
molecule_059,F,703.67,3,F_002;F_003;F_004
molecule_060,C,305.87,1,C_001
molecule_060,F,704.11,1,F_005
molecule_060,F,704.12,3,F_002;F_003;F_004
molecule_061,C,294.08,1,C_001
molecule_061,C,298.41,1,C_002
molecule_061,F,702.70,2,F_003;F_004
molecule_062,C,296.49,1,C_001
molecule_062,C,303.39,1,C_002
molecule_062,F,703.24,1,F_003
molecule_062,F,703.25,2,F_004;F_005
molecule_063,C,296.19,1,C_003
molecule_063,C,298.47,1,C_002
molecule_063,F,701.91,1,F_004
molecule_063,F,702.98,1,F_001
molecule_063,F,703.04,1,F_005
molecule_064,C,294.26,1,C_006
molecule_064,C,294.43,4,C_001;C_004;C_005;C_007
molecule_064,C,296.29,1,C_002
molecule_064,F,701.87,1,F_003
molecule_065,C,294.52,2,C_007;C_008
molecule_065,C,294.65,2,C_001;C_006
molecule_065,C,296.74,2,C_002;C_004
molecule_065,F,702.13,2,F_003;F_005
molecule_066,C,294.58,2,C_001;C_007
molecule_066,C,294.68,1,C_008
molecule_066,C,294.70,1,C_004
molecule_066,C,296.71,2,C_002;C_005
molecule_066,F,702.02,2,F_003;F_006
molecule_067,C,294.73,4,C_001;C_004;C_005;C_008
molecule_067,C,296.80,1,C_006
molecule_067,C,296.81,1,C_002
molecule_067,F,702.11,2,F_003;F_007
molecule_068,C,294.78,1,C_001
molecule_068,C,294.86,1,C_002
molecule_068,C,302.61,1,C_003
molecule_068,F,702.41,1,F_006
molecule_068,F,702.42,1,F_004
molecule_068,F,702.45,1,F_005
